Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
8870828384162,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8085931-01
9870842657591,620962,K And N Engineering Inc - Riverside CA,20220326,32.51,8088148-01
9870855032193,620962,K And N Engineering Inc - Riverside CA,20220326,5.35,8089201-01
8870791415311,620962,K And N Engineering Inc - Riverside CA,20220326,27.26,8082924-01
8870805007093,620962,K And N Engineering Inc - Riverside CA,20220326,24.45,8084092-01
8870817195475,620962,K And N Engineering Inc - Riverside CA,20220326,6.02,8085317-01
8870817637147,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8085580-01
7870788375461,620962,K And N Engineering Inc - Riverside CA,20220326,6.71,8081582-01
8870817356025,620962,K And N Engineering Inc - Riverside CA,20220326,33.22,8085318-01
8870817499636,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8085488-01
9870854924684,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089184-01
8870817278585,620962,K And N Engineering Inc - Riverside CA,20220326,38.63,8085299-01
8870790262196,620962,K And N Engineering Inc - Riverside CA,20220326,47.65,8082940-01
8870803497797,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8083690-01
8870805294523,620962,K And N Engineering Inc - Riverside CA,20220326,310.21,8084200-01
8870829237776,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8086407-01
8870815784849,620962,K And N Engineering Inc - Riverside CA,20220326,3.79,8084882-01
9870854662978,620962,K And N Engineering Inc - Riverside CA,20220326,2.89,8089107-01
6870749928658,620962,K And N Engineering Inc - Riverside CA,20220326,123.5,8076975-01
7870788930081,620962,K And N Engineering Inc - Riverside CA,20220326,25.59,8081774-01
9870831259573,620962,K And N Engineering Inc - Riverside CA,20220326,23.07,8087502-01
8870803366593,620962,K And N Engineering Inc - Riverside CA,20220326,16.6,8083661-01
8870829695409,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8086701-01
8870792226114,620962,K And N Engineering Inc - Riverside CA,20220326,7.02,8083221-01
8870828142582,620962,K And N Engineering Inc - Riverside CA,20220326,11.36,8085851-01
8870817772143,620962,K And N Engineering Inc - Riverside CA,20220326,34.28,8085636-01
8870829988356,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8086831-01
8870817334664,620962,K And N Engineering Inc - Riverside CA,20220326,108.92,8085348-01
8870816284729,620962,K And N Engineering Inc - Riverside CA,20220326,42.62,8084796-01
8870804604447,620962,K And N Engineering Inc - Riverside CA,20220326,7.65,8083991-01
8870804793240,620962,K And N Engineering Inc - Riverside CA,20220326,21.48,8084042-01
9870855972458,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8089586-01
9870855749373,620962,K And N Engineering Inc - Riverside CA,20220326,3.03,8089513-01
8870804846772,620962,K And N Engineering Inc - Riverside CA,20220326,6.6,8084044-01
8870805064538,620962,K And N Engineering Inc - Riverside CA,20220326,6.55,8084094-01
9870842521890,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8088107-01
8870816335383,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8085121-01
8870815822200,620962,K And N Engineering Inc - Riverside CA,20220326,6.24,8084438-01
9870841324835,620962,K And N Engineering Inc - Riverside CA,20220326,4,8088028-01
9870842395079,620962,K And N Engineering Inc - Riverside CA,20220326,22.97,8088046-01
8870817750284,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8085657-01
9870854705918,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089157-01
8870790602982,620962,K And N Engineering Inc - Riverside CA,20220326,241.27,8082657-01
9870842671187,620962,K And N Engineering Inc - Riverside CA,20220326,25.59,8088140-01
8870791913757,620962,K And N Engineering Inc - Riverside CA,20220326,27.23,8083146-01
9870856127505,620962,K And N Engineering Inc - Riverside CA,20220326,23.07,8089696-01
9870842490328,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8088029-01
9870831500671,620962,K And N Engineering Inc - Riverside CA,20220326,3.97,8087553-01
8870829081137,620962,K And N Engineering Inc - Riverside CA,20220326,38.38,8086296-01
